depth,hook_load_avg,wob_avg,rpm_surface_avg,torqueabs_avg,spp_avg,rop_inst,well_bore_code
1167.4541,47.8,-999.25,0,-9,154.42,-3278.3794,NO 15/9-F-1 C
1167.4541,47.8,-999.25,0,-9,154.42,-3278.3794,NO 15/9-F-1 C
1167.4541,48.63,-999.25,0,-8,161.58,-3278.3794,NO 15/9-F-1 C
1167.4541,48.44,-999.25,0,-8,161.58,-3278.3794,NO 15/9-F-1 C
1167.4541,48.44,-999.25,0,-8,161.58,-3278.3794,NO 15/9-F-1 C
1167.4541,48.44,-999.25,0,-4,169.94,-3278.3794,NO 15/9-F-1 C
1167.4541,48.61,-999.25,0,-4,175.9,-3278.3794,NO 15/9-F-1 C
1167.4541,48.61,-999.25,0,-4,175.9,-3278.3794,NO 15/9-F-1 C
1167.4541,48.08,-999.25,0,-11,175.9,-3278.3794,NO 15/9-F-1 C
1167.4541,48.08,-999.25,0,-6,182.27,-3278.3794,NO 15/9-F-1 C
1167.4541,47.89,-999.25,0,-6,187.84,-3278.3794,NO 15/9-F-1 C
1167.4541,47.89,-999.25,0,-6,187.84,-3278.3794,NO 15/9-F-1 C
1167.4541,48.7,-999.25,0,-9,193.4,-3278.3794,NO 15/9-F-1 C
1167.4541,48.7,-999.25,0,-8,204.94,-3278.3794,NO 15/9-F-1 C
0.164,48.7,-999.25,0,-8,204.94,-3278.3794,NO 15/9-F-1 C
0.164,48.4,-999.25,0,-8,204.94,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-8,208.12,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-8,208.12,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-9,208.12,-3278.3794,NO 15/9-F-1 C
0.164,47.97,-999.25,0,-8,214.89,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,215.28,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,215.28,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-6,217.27,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-6,217.27,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-6,217.27,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-8,223.64,-3278.3794,NO 15/9-F-1 C
0.164,48.23,-999.25,0,-8,224.83,-3278.3794,NO 15/9-F-1 C
0.164,48.23,-999.25,0,-8,224.83,-3278.3794,NO 15/9-F-1 C
0.164,48.23,-999.25,0,-8,224.83,-3278.3794,NO 15/9-F-1 C
0.164,47.8,-999.25,0,-11,228.81,-3278.3794,NO 15/9-F-1 C
0.164,47.8,-999.25,0,-11,228.81,-3278.3794,NO 15/9-F-1 C
0.164,47.8,-999.25,0,-11,228.81,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-8,227.22,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-6,227.22,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-6,227.22,-3278.3794,NO 15/9-F-1 C
0.164,48.23,-999.25,0,-8,224.03,-3278.3794,NO 15/9-F-1 C
0.164,48.55,-999.25,0,-8,221.65,-3278.3794,NO 15/9-F-1 C
0.164,48.55,-999.25,0,-8,221.65,-3278.3794,NO 15/9-F-1 C
0.164,48.55,-999.25,0,-8,221.65,-3278.3794,NO 15/9-F-1 C
0.164,48.61,-999.25,0,-8,216.48,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-9,214.89,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-9,214.89,-3278.3794,NO 15/9-F-1 C
0.164,48.29,-999.25,0,-8,211.3,-3278.3794,NO 15/9-F-1 C
0.164,48.48,-999.25,0,-8,211.3,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-4,202.55,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-4,202.55,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-4,202.55,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-8,202.55,-3278.3794,NO 15/9-F-1 C
